"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Europe & Central Asia","ECS","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","651062000","-1120727000","-148910000.000002","-2576331000","-2348221000","-1588044000","-2481283000","-2333329000","-688583000","1499685000","-562148999.999996","-1575196000","",
"Egypt, Arab Rep.","EGY","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3300155000","-3771965500","-3790889100","-4809621600","-4669614700","-3499103900","-1775179400","-1115249300","-1081160200","-1219728700","-1312505100","446891300","","","","","","","","",
"Spain","ESP","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","2640358900","6255379000","4459247100","2893498000","-290347100","-100278000","-1905880900","5113429100","10215332700","8551795300","8349101400","15895505600","17052016900","23538396600","32294213800","29502675200","21606152300","11989844200","4019465900","-8915066800","-13962117500","-17271159400","-17786303500","-3331296100","2122067000","182000000","3993000000","6862000000","-2746000000","-14017000000","-13541000000","-13372000000","-19288000000","-26464000000","-42575000000","-58899000000","-73092000000","-80923000000","-62542000000","-28711000000","-22832000000","2859000000","24048000000","38619000000","33695000000","32763000000","43492000000","42439000000","39442000000","",
"Estonia","EST","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830111400","600277100","635096300","465513800","432875700","498152600","845022300","702638900","448216700","-121828400","-375816800","-357642100","-159736600","-1263860500","-1466416000","-541860900","852412200","1315049000","1316494800","731078900","803384100","763640900","811598100","704099300","674501900","470298400","",
"Ethiopia","ETH","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","-3065046300","-3153876000","-2414767800","-3324532000","-4283306000","-6211730700","-4520034600","-2384735700","-715982800","-2121294300","-2374366600","-482300400","-1234456900","-1246414900","-215096900","-1362794000","-1601786000","-2861136200","-4722960500","-6744095600","-6323213400","-4258138500","-2278898800","1197810900","1478557100","1770390000","1413702100","2330273500","2687053900","5850580500","7318571600","7665202200","7818725700","5111787200","5889969000","3851177800","6303390200","7973714900","7500596400","3512154800","3649788200","794147400","134909300","471030500","-330778200","-1202000000","-2831350800","738384800","-1587167100","",
"Fiji","FJI","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","2835260200","2362351900","520001900","-962024800","-3683900400","-475268400","-2531039400","-3873855100","-5113441000","-8910878100","-3834658000","-2300152000","-5752796900","-8912772800","-3215535500","3602432400","-6942402300","303888200","3083604800","468952600","-3010060100","6544610300","-704297400","11056476600","17001343800","13166609700","291494100","-8389058000","-9064001500","-6394670900","-8675002100","-1375782500","8712793900","17936389900","17716457100","22752859500","28826491700","47110795900","41698151500","37456900500","33135030000","37105210200","38073523200","29440606500","27209610100","17078515100","20122160300","4766454800","-63636300","-8934604100","-10740425000","-8434634200","7200535800","5682257800","-4160177700","-12453000000","-20571659000","-22014543600","-6222457900","",
"Faroe Islands","FRO","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
